module,os,description,deprecated
AL,IRIX,Constants used with the al module.,1
BaseHTTPServer,,Basic HTTP server (base class for SimpleHTTPServer and CGIHTTPServer).,
Bastion,,Providing restricted access to objects.,1
CGIHTTPServer,,This module provides a request handler for HTTP servers which can run CGI scripts.,
Carbon.AE,Mac,Interface to the Apple Events toolbox.,1
Carbon.AH,Mac,Interface to the Apple Help manager.,1
Carbon.App,Mac,Interface to the Appearance Manager.,1
Carbon.Appearance,Mac,Constant definitions for the interface to the Appearance Manager.,1
Carbon.CF,Mac,Interface to the Core Foundation.,1
Carbon.CG,Mac,Interface to Core Graphics.,1
Carbon.CarbonEvents,Mac,Constants for the interface to the Carbon Event Manager.,1
Carbon.CarbonEvt,Mac,Interface to the Carbon Event Manager.,1
Carbon.Cm,Mac,Interface to the Component Manager.,1
Carbon.Components,Mac,Constants for the interface to the Component Manager.,1
Carbon.ControlAccessor,Mac,Accessor functions for the interface to the Control Manager.,1
Carbon.Controls,Mac,Constants for the interface to the Control Manager.,1
Carbon.CoreFounation,Mac,Constants for the interface to CoreFoundation.,1
Carbon.CoreGraphics,Mac,Constants for the interface to CoreGraphics.,1
Carbon.Ctl,Mac,Interface to the Control Manager.,1
Carbon.Dialogs,Mac,Constants for the interface to the Dialog Manager.,1
Carbon.Dlg,Mac,Interface to the Dialog Manager.,1
Carbon.Drag,Mac,Interface to the Drag and Drop Manager.,1
Carbon.Dragconst,Mac,Constants for the interface to the Drag and Drop Manager.,1
Carbon.Events,Mac,Constants for the interface to the classic Event Manager.,1
Carbon.Evt,Mac,Interface to the classic Event Manager.,1
Carbon.File,Mac,Interface to the File Manager.,1
Carbon.Files,Mac,Constants for the interface to the File Manager.,1
Carbon.Fm,Mac,Interface to the Font Manager.,1
Carbon.Folder,Mac,Interface to the Folder Manager.,1
Carbon.Folders,Mac,Constants for the interface to the Folder Manager.,1
Carbon.Fonts,Mac,Constants for the interface to the Font Manager.,1
Carbon.Help,Mac,Interface to the Carbon Help Manager.,1
Carbon.IBCarbon,Mac,Interface to the Carbon InterfaceBuilder support libraries.,1
Carbon.IBCarbonRuntime,Mac,Constants for the interface to the Carbon InterfaceBuilder support libraries.,1
Carbon.Icns,Mac,Interface to the Carbon Icon Manager,1
Carbon.Icons,Mac,Constants for the interface to the Carbon Icon Manager,1
Carbon.Launch,Mac,Interface to the Carbon Launch Services.,1
Carbon.LaunchServices,Mac,Constants for the interface to the Carbon Launch Services.,1
Carbon.List,Mac,Interface to the List Manager.,1
Carbon.Lists,Mac,Constants for the interface to the List Manager.,1
Carbon.MacHelp,Mac,Constants for the interface to the Carbon Help Manager.,1
Carbon.MediaDescr,Mac,Parsers and generators for Quicktime Media descriptors,1
Carbon.Menu,Mac,Interface to the Menu Manager.,1
Carbon.Menus,Mac,Constants for the interface to the Menu Manager.,1
Carbon.Mlte,Mac,Interface to the MultiLingual Text Editor.,1
Carbon.OSA,Mac,Interface to the Carbon OSA Library.,1
Carbon.OSAconst,Mac,Constants for the interface to the Carbon OSA Library.,1
Carbon.QDOffscreen,Mac,Constants for the interface to the QuickDraw Offscreen APIs.,1
Carbon.Qd,Mac,Interface to the QuickDraw toolbox.,1
Carbon.Qdoffs,Mac,Interface to the QuickDraw Offscreen APIs.,1
Carbon.Qt,Mac,Interface to the QuickTime toolbox.,1
Carbon.QuickDraw,Mac,Constants for the interface to the QuickDraw toolbox.,1
